case_id,trader_id,symbol,days_before_news,volume_spike_ratio,price_correlation,holding_period_days,account_concentration,prior_trading_avg_volume,trade_amount_usd,volatility_zscore,options_activity,sector_correlation,account_history_violations,is_insider_trading
SEC-2014-002,TRADER_AA,PLTR,2,7.6,0.87,17,0.71,62000,2150000,1.9,0.78,0.88,0,1
SEC-2014-003,TRADER_AB,RBLX,3,6.4,0.83,24,0.61,85000,1700000,1.7,0.72,0.85,0,1
SEC-2014-004,TRADER_AC,C,4,4.0,0.59,37,0.43,133000,900000,0.6,0.30,0.54,0,0
SEC-2014-005,TRADER_AD,WFC,2,8.2,0.91,13,0.77,51000,2350000,2.1,0.84,0.91,0,1
SEC-2015-001,TRADER_AE,INTC,1,9.4,0.94,9,0.84,42000,2950000,2.4,0.90,0.93,0,1
SEC-2015-002,TRADER_AF,QCOM,2,8.0,0.89,16,0.75,58000,2200000,2.0,0.79,0.89,0,1
SEC-2015-003,TRADER_AG,TXN,3,6.7,0.85,21,0.65,76000,1900000,1.8,0.73,0.86,0,1
SEC-2015-004,TRADER_AH,AMAT,4,4.1,0.62,36,0.44,132000,820000,0.7,0.35,0.60,0,0
SEC-2015-005,TRADER_AI,LRCX,2,7.7,0.88,14,0.72,61000,2120000,2.1,0.81,0.90,0,1
SEC-2016-001,TRADER_AJ,ASML,1,9.6,0.95,7,0.86,38000,3050000,2.5,0.91,0.94,0,1
SEC-2016-002,TRADER_AK,NXPI,2,8.4,0.91,15,0.78,53000,2420000,2.2,0.85,0.92,0,1
SEC-2016-003,TRADER_AL,INTU,3,6.5,0.84,22,0.63,79000,1820000,1.7,0.70,0.83,0,1
SEC-2016-004,TRADER_AM,ADBE,4,4.2,0.61,38,0.43,136000,890000,0.7,0.33,0.58,0,0
SEC-2016-005,TRADER_AN,CRM,2,8.1,0.90,12,0.75,57000,2260000,2.0,0.83,0.90,0,1
SEC-2017-001,TRADER_AO,NOW,1,9.9,0.96,6,0.88,33000,3150000,2.6,0.93,0.95,0,1
SEC-2017-002,TRADER_AP,WDAY,2,8.2,0.92,13,0.77,50000,2380000,2.1,0.86,0.91,0,1
SEC-2017-003,TRADER_AQ,OKTA,3,6.6,0.85,23,0.64,81000,1900000,1.8,0.74,0.87,0,1
SEC-2017-004,TRADER_AR,ZM,4,4.3,0.62,37,0.45,130000,910000,0.7,0.34,0.61,0,0
SEC-2017-005,TRADER_AS,DOCU,2,7.8,0.89,11,0.73,59000,2190000,2.0,0.82,0.89,0,1
SEC-2018-001,TRADER_AT,TDOC,1,9.5,0.94,8,0.85,36000,2850000,2.4,0.89,0.92,0,1
SEC-2018-002,TRADER_AU,UPWK,2,8.0,0.88,14,0.74,56000,2140000,1.9,0.79,0.88,0,1
SEC-2018-003,TRADER_AV,PINS,3,6.7,0.86,21,0.66,77000,1950000,1.8,0.75,0.88,0,1
SEC-2018-004,TRADER_AW,SNAP,4,4.0,0.60,39,0.42,134000,770000,0.6,0.31,0.53,0,0
SEC-2018-005,TRADER_AX,TWLO,2,8.3,0.91,13,0.78,52000,2480000,2.2,0.87,0.93,0,1
SEC-2019-001,TRADER_AY,NET,1,9.8,0.97,7,0.87,34000,3120000,2.6,0.94,0.96,0,1
SEC-2019-002,TRADER_AZ,CRWD,2,8.1,0.90,15,0.76,54000,2320000,2.0,0.83,0.91,0,1
SEC-2019-003,TRADER_BA,TEAM,3,6.5,0.84,22,0.62,80000,1790000,1.7,0.71,0.84,0,1
SEC-2019-004,TRADER_BB,DDOG,4,4.1,0.61,36,0.44,131000,840000,0.7,0.34,0.59,0,0
SEC-2019-005,TRADER_BC,PLAN,2,7.9,0.89,12,0.74,58000,2210000,2.1,0.84,0.91,0,1
SEC-2020-001,TRADER_BD,FSLY,1,9.6,0.95,8,0.86,39000,3020000,2.5,0.91,0.94,0,1
SEC-2020-002,TRADER_BE,PSTG,2,8.2,0.91,14,0.77,51000,2400000,2.1,0.85,0.91,0,1
SEC-2020-003,TRADER_BF,MNDY,3,6.6,0.85,23,0.63,82000,1870000,1.8,0.73,0.86,0,1
SEC-2020-004,TRADER_BG,ACHR,4,4.2,0.62,37,0.45,129000,900000,0.7,0.35,0.60,0,0
SEC-2020-005,TRADER_BH,BIGC,2,8.0,0.90,11,0.75,57000,2250000,2.0,0.82,0.89,0,1
SEC-2021-001,TRADER_BI,W,1,9.7,0.96,7,0.88,32000,3180000,2.6,0.93,0.95,0,1
SEC-2021-002,TRADER_BJ,TTD,2,8.3,0.92,13,0.79,49000,2510000,2.2,0.87,0.92,0,1
SEC-2021-003,TRADER_BK,ILMN,3,6.7,0.86,24,0.65,83000,1920000,1.8,0.74,0.87,0,1
SEC-2021-004,TRADER_BL,MRNA,4,4.1,0.63,38,0.43,132000,820000,0.7,0.36,0.62,0,0
SEC-2021-005,TRADER_BM,BNTX,2,8.1,0.91,12,0.76,53000,2370000,2.1,0.86,0.91,0,1
SEC-2022-001,TRADER_BN,ARKG,1,9.5,0.94,8,0.84,37000,2920000,2.4,0.89,0.93,0,1
SEC-2022-002,TRADER_BO,ARKK,2,8.0,0.89,15,0.73,60000,2160000,1.9,0.80,0.88,0,1
SEC-2022-003,TRADER_BP,ARKW,3,6.5,0.84,21,0.64,78000,1820000,1.7,0.72,0.85,0,1
SEC-2022-004,TRADER_BQ,ARKQ,4,4.0,0.61,39,0.42,135000,780000,0.6,0.32,0.57,0,0
SEC-2022-005,TRADER_BR,ARKF,2,7.8,0.90,13,0.72,61000,2290000,2.0,0.83,0.90,0,1
SEC-2023-001,TRADER_BS,BLOK,1,9.4,0.93,7,0.85,41000,3000000,2.5,0.90,0.93,0,1
SEC-2023-002,TRADER_BT,MARA,2,8.2,0.91,14,0.77,52000,2410000,2.1,0.84,0.91,0,1
SEC-2023-003,TRADER_BU,MSTR,3,6.6,0.85,22,0.63,81000,1910000,1.8,0.73,0.86,0,1
SEC-2023-004,TRADER_BV,COIN,4,4.1,0.62,36,0.44,130000,910000,0.7,0.34,0.60,0,0
SEC-2023-005,TRADER_BW,GBTC,2,7.9,0.89,11,0.74,59000,2200000,2.0,0.82,0.89,0,1
SEC-2024-001,TRADER_BX,SPY,1,8.7,0.89,10,0.72,65000,2500000,2.0,0.79,0.87,0,1
SEC-2024-002,TRADER_BY,QQQ,2,7.5,0.86,18,0.68,70000,2100000,1.8,0.74,0.85,0,1
SEC-2024-003,TRADER_BZ,IWM,3,6.2,0.81,25,0.58,90000,1600000,1.5,0.65,0.78,0,1
SEC-2024-004,TRADER_CA,EEM,4,3.9,0.58,42,0.38,145000,700000,0.5,0.28,0.50,0,0
SEC-2024-005,TRADER_CB,AGG,2,8.4,0.92,12,0.76,48000,2350000,2.1,0.87,0.92,0,1
GALLEON-2009-001,RAJARATNAM,SSRI,1,12.3,0.98,4,0.92,28000,4200000,3.2,0.96,0.98,1,1
GALLEON-2009-002,RAJARATNAM,INTERSIL,2,11.8,0.97,5,0.91,31000,3850000,3.0,0.95,0.97,1,1
GALLEON-2009-003,RAJARATNAM,NVIDIA,1,11.5,0.96,6,0.90,33000,3650000,2.9,0.94,0.96,1,1
GALLEON-2009-004,RAJARATNAM,AKAMAI,2,10.9,0.95,8,0.88,36000,3350000,2.7,0.92,0.95,1,1
GALLEON-2009-005,RAJARATNAM,TOWER,1,13.2,0.99,3,0.93,26000,4500000,3.4,0.97,0.99,1,1
SAC-2012-001,MARTOMA,ELAN,1,10.8,0.96,5,0.89,35000,3400000,2.8,0.93,0.95,1,1
SAC-2012-002,MARTOMA,WYETH,2,10.2,0.95,7,0.86,40000,3100000,2.6,0.91,0.94,1,1
SAC-2012-003,MARTOMA,PFE,1,11.4,0.97,4,0.91,32000,3750000,2.9,0.94,0.96,1,1
SAC-2012-004,MARTOMA,PHARMA,2,9.8,0.94,8,0.84,42000,2950000,2.5,0.89,0.93,1,1
SAC-2012-005,MARTOMA,BIOPHARMA,1,12.1,0.98,6,0.90,34000,4050000,3.1,0.96,0.97,1,1
DEFAULT-2010-001,TRADER_CC,TECH,5,2.8,0.45,48,0.25,160000,450000,0.3,0.15,0.35,0,0
DEFAULT-2010-002,TRADER_CD,BANK,6,2.5,0.42,50,0.22,170000,380000,0.2,0.12,0.30,0,0
DEFAULT-2010-003,TRADER_CE,ENERGY,5,3.0,0.48,46,0.28,150000,520000,0.4,0.18,0.40,0,0
DEFAULT-2010-004,TRADER_CF,RETAIL,6,2.6,0.44,49,0.24,165000,420000,0.3,0.14,0.32,0,0
DEFAULT-2010-005,TRADER_CG,HEALTH,5,2.9,0.46,47,0.26,155000,480000,0.35,0.16,0.37,0,0
DEFAULT-2011-001,TRADER_CH,AUTO,6,2.4,0.41,51,0.20,175000,350000,0.2,0.10,0.28,0,0
DEFAULT-2011-002,TRADER_CI,FINANCE,5,3.1,0.50,45,0.30,145000,580000,0.45,0.20,0.42,0,0
DEFAULT-2011-003,TRADER_CJ,INDUSTRIAL,6,2.7,0.43,48,0.23,168000,410000,0.25,0.13,0.31,0,0
DEFAULT-2011-004,TRADER_CK,UTILITIES,5,2.8,0.47,46,0.27,152000,510000,0.38,0.17,0.38,0,0
DEFAULT-2011-005,TRADER_CL,REAL_ESTATE,6,2.5,0.40,50,0.21,172000,390000,0.22,0.11,0.27,0,0
DEFAULT-2012-001,TRADER_CM,TECH,5,3.0,0.49,44,0.32,140000,620000,0.48,0.22,0.44,0,0
DEFAULT-2012-002,TRADER_CN,BANK,6,2.3,0.39,52,0.19,180000,320000,0.18,0.09,0.26,0,0
DEFAULT-2012-003,TRADER_CO,ENERGY,5,2.9,0.45,47,0.25,158000,450000,0.32,0.15,0.36,0,0
DEFAULT-2012-004,TRADER_CP,RETAIL,6,2.6,0.42,49,0.22,170000,380000,0.28,0.12,0.30,0,0
DEFAULT-2012-005,TRADER_CQ,HEALTH,5,3.1,0.51,43,0.34,138000,650000,0.50,0.24,0.46,0,0
DEFAULT-2013-001,TRADER_CR,AUTO,6,2.4,0.40,51,0.20,176000,340000,0.20,0.10,0.28,0,0
DEFAULT-2013-002,TRADER_CS,FINANCE,5,3.0,0.50,45,0.31,143000,600000,0.46,0.21,0.43,0,0
DEFAULT-2013-003,TRADER_CT,INDUSTRIAL,6,2.7,0.44,48,0.24,167000,420000,0.26,0.14,0.32,0,0
DEFAULT-2013-004,TRADER_CU,UTILITIES,5,2.8,0.46,46,0.26,154000,500000,0.36,0.16,0.37,0,0
DEFAULT-2013-005,TRADER_CV,REAL_ESTATE,6,2.5,0.41,50,0.22,171000,400000,0.24,0.12,0.29,0,0
DEFAULT-2014-001,TRADER_CW,TECH,5,2.9,0.48,44,0.30,146000,590000,0.44,0.20,0.41,0,0
DEFAULT-2014-002,TRADER_CX,BANK,6,2.4,0.39,52,0.19,179000,330000,0.19,0.09,0.26,0,0
DEFAULT-2014-003,TRADER_CY,ENERGY,5,3.0,0.49,45,0.32,141000,630000,0.49,0.23,0.45,0,0
DEFAULT-2014-004,TRADER_CZ,RETAIL,6,2.6,0.43,49,0.23,169000,390000,0.29,0.13,0.31,0,0
DEFAULT-2014-005,TRADER_DA,HEALTH,5,2.8,0.45,47,0.25,156000,470000,0.34,0.15,0.35,0,0
DEFAULT-2015-001,TRADER_DB,AUTO,6,2.5,0.40,51,0.21,174000,350000,0.21,0.10,0.28,0,0
DEFAULT-2015-002,TRADER_DC,FINANCE,5,3.1,0.51,44,0.33,139000,660000,0.51,0.25,0.47,0,0
DEFAULT-2015-003,TRADER_DD,INDUSTRIAL,6,2.7,0.42,48,0.22,168000,400000,0.23,0.12,0.30,0,0
DEFAULT-2015-004,TRADER_DE,UTILITIES,5,2.9,0.47,46,0.27,151000,520000,0.39,0.18,0.39,0,0
DEFAULT-2015-005,TRADER_DF,REAL_ESTATE,6,2.4,0.38,50,0.20,177000,370000,0.22,0.11,0.27,0,0
DEFAULT-2016-001,TRADER_DG,TECH,5,3.0,0.50,45,0.31,144000,610000,0.47,0.22,0.42,0,0
DEFAULT-2016-002,TRADER_DH,BANK,6,2.3,0.37,53,0.18,182000,310000,0.17,0.08,0.25,0,0
DEFAULT-2016-003,TRADER_DI,ENERGY,5,2.8,0.46,46,0.24,157000,460000,0.33,0.14,0.34,0,0
DEFAULT-2016-004,TRADER_DJ,RETAIL,6,2.5,0.41,50,0.21,172000,380000,0.25,0.11,0.29,0,0
DEFAULT-2016-005,TRADER_DK,HEALTH,5,3.1,0.52,43,0.35,137000,680000,0.52,0.26,0.48,0,0
DEFAULT-2017-001,TRADER_DL,AUTO,6,2.4,0.39,52,0.19,178000,340000,0.19,0.09,0.27,0,0
DEFAULT-2017-002,TRADER_DM,FINANCE,5,3.0,0.50,45,0.30,145000,580000,0.45,0.20,0.41,0,0
DEFAULT-2017-003,TRADER_DN,INDUSTRIAL,6,2.7,0.43,48,0.23,166000,410000,0.27,0.13,0.31,0,0
DEFAULT-2017-004,TRADER_DO,UTILITIES,5,2.8,0.45,47,0.26,153000,510000,0.37,0.17,0.38,0,0
DEFAULT-2017-005,TRADER_DP,REAL_ESTATE,6,2.5,0.40,51,0.22,170000,390000,0.23,0.11,0.28,0,0
DEFAULT-2018-001,TRADER_DQ,TECH,5,2.9,0.49,44,0.32,142000,620000,0.48,0.23,0.43,0,0
DEFAULT-2018-002,TRADER_DR,BANK,6,2.4,0.38,51,0.20,175000,330000,0.20,0.10,0.26,0,0
DEFAULT-2018-003,TRADER_DS,ENERGY,5,3.0,0.50,45,0.31,146000,600000,0.46,0.21,0.42,0,0
DEFAULT-2018-004,TRADER_DT,RETAIL,6,2.6,0.42,49,0.22,168000,400000,0.26,0.12,0.30,0,0
DEFAULT-2018-005,TRADER_DU,HEALTH,5,2.8,0.46,46,0.25,155000,490000,0.35,0.16,0.36,0,0
DEFAULT-2019-001,TRADER_DV,AUTO,6,2.5,0.41,50,0.21,173000,360000,0.22,0.10,0.28,0,0
DEFAULT-2019-002,TRADER_DW,FINANCE,5,3.1,0.51,44,0.33,140000,650000,0.50,0.24,0.46,0,0
DEFAULT-2019-003,TRADER_DX,INDUSTRIAL,6,2.7,0.44,48,0.24,167000,420000,0.28,0.14,0.32,0,0
DEFAULT-2019-004,TRADER_DY,UTILITIES,5,2.9,0.47,46,0.27,152000,520000,0.39,0.18,0.39,0,0
DEFAULT-2019-005,TRADER_DZ,REAL_ESTATE,6,2.4,0.39,51,0.20,176000,370000,0.21,0.11,0.27,0,0
DEFAULT-2020-001,TRADER_EA,TECH,5,3.0,0.50,45,0.31,143000,610000,0.47,0.22,0.42,0,0
DEFAULT-2020-002,TRADER_EB,BANK,6,2.3,0.38,52,0.19,180000,320000,0.18,0.09,0.26,0,0
DEFAULT-2020-003,TRADER_EC,ENERGY,5,2.8,0.46,46,0.24,158000,470000,0.34,0.15,0.35,0,0
DEFAULT-2020-004,TRADER_ED,RETAIL,6,2.5,0.41,50,0.21,171000,380000,0.25,0.11,0.29,0,0
DEFAULT-2020-005,TRADER_EE,HEALTH,5,3.1,0.52,43,0.35,138000,670000,0.51,0.25,0.47,0,0
DEFAULT-2021-001,TRADER_EF,AUTO,6,2.4,0.40,51,0.20,177000,340000,0.20,0.10,0.27,0,0
DEFAULT-2021-002,TRADER_EG,FINANCE,5,3.0,0.50,45,0.30,144000,590000,0.45,0.20,0.41,0,0
DEFAULT-2021-003,TRADER_EH,INDUSTRIAL,6,2.7,0.43,48,0.23,165000,410000,0.27,0.13,0.31,0,0
DEFAULT-2021-004,TRADER_EI,UTILITIES,5,2.8,0.45,47,0.26,154000,510000,0.37,0.17,0.38,0,0
DEFAULT-2021-005,TRADER_EJ,REAL_ESTATE,6,2.5,0.40,51,0.22,169000,400000,0.24,0.11,0.28,0,0
DEFAULT-2022-001,TRADER_EK,TECH,5,2.9,0.49,44,0.32,141000,630000,0.49,0.23,0.44,0,0
DEFAULT-2022-002,TRADER_EL,BANK,6,2.4,0.39,52,0.19,179000,330000,0.19,0.09,0.26,0,0
DEFAULT-2022-003,TRADER_EM,ENERGY,5,3.0,0.50,45,0.31,145000,610000,0.47,0.22,0.42,0,0
DEFAULT-2022-004,TRADER_EN,RETAIL,6,2.6,0.42,49,0.22,168000,400000,0.26,0.12,0.30,0,0
DEFAULT-2022-005,TRADER_EO,HEALTH,5,2.8,0.46,46,0.25,156000,480000,0.35,0.16,0.36,0,0
DEFAULT-2023-001,TRADER_EP,AUTO,6,2.5,0.40,51,0.21,174000,350000,0.21,0.10,0.28,0,0
DEFAULT-2023-002,TRADER_EQ,FINANCE,5,3.1,0.51,44,0.33,139000,660000,0.51,0.25,0.47,0,0
DEFAULT-2023-003,TRADER_ER,INDUSTRIAL,6,2.7,0.42,48,0.22,166000,400000,0.23,0.12,0.30,0,0
DEFAULT-2023-004,TRADER_ES,UTILITIES,5,2.9,0.47,46,0.27,151000,530000,0.39,0.18,0.39,0,0
DEFAULT-2023-005,TRADER_ET,REAL_ESTATE,6,2.4,0.38,50,0.20,177000,370000,0.22,0.11,0.27,0,0
DEFAULT-2024-001,TRADER_EU,TECH,5,3.0,0.50,45,0.31,144000,610000,0.47,0.22,0.42,0,0
DEFAULT-2024-002,TRADER_EV,BANK,6,2.3,0.37,53,0.18,182000,320000,0.17,0.08,0.25,0,0
DEFAULT-2024-003,TRADER_EW,ENERGY,5,2.8,0.46,46,0.24,157000,470000,0.34,0.14,0.35,0,0
DEFAULT-2024-004,TRADER_EX,RETAIL,6,2.5,0.41,50,0.21,172000,390000,0.25,0.11,0.29,0,0
DEFAULT-2024-005,TRADER_EY,HEALTH,5,3.1,0.52,43,0.35,137000,680000,0.52,0.26,0.48,0,0
